[island 4] 2026-02-17 16:02:56,529 | INFO | 300707 | === CodeEvolve ===
[island 4] 2026-02-17 16:02:56,530 | INFO | 300707 | ====== PREPARING COMPONENTS ======
[island 4] 2026-02-17 16:02:56,562 | INFO | 300707 | Starting anew.
[island 4] 2026-02-17 16:02:56,860 | INFO | 300707 | Attempting to evaluate program...
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | Evaluated program without errors.
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | sol_db=ProgramDatabase(id=4,total_programs=1,mode=MAP-Elites,elite_map=CVTEliteMap(num_centroids=30))
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | prompt_db=ProgramDatabase(id=4,total_programs=1,mode=standard,num_alive=1,max_alive=None)
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | exploration_ensemble=LMEnsemble(
  (model): 1
  (0): OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1)
)
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | exploitation_ensemble=LMEnsemble(
  (model): 1
  (0): OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1)
)
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | prompt_sampler=PromptSampler(aux_lm=OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1))
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | evaluator=Evaluator(eval_path=evaluate.py,cwd=problems/eoh-problems/tsp_gls/input,timeout_s=60,max_mem_b=2000000000,mem_check_interval_s=0.1)
[island 4] 2026-02-17 16:03:01,945 | INFO | 300707 | embedding=None
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | scheduler=PlateauScheduler(exploration_rate=0.3,min_rate=0.2,max_rate=0.5,plateau_threshold=5,increase_factor=1.05,decrease_factor=0.95,)
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | init_prog=Program(id=1a5232c8-3ef0-44b6-88c4-481a89ce6145,fitness=-4.58225929,island_found=4,iteration_found=0,returncode=0,eval_metrics={'fitness': -4.582259289995391, 'avg_gap_pct': 4.582259289995391, 'gaps': [6.981603922675039, 3.95730192... [TRUNCATED]
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | ============ STARTING EVOLUTIONARY LOOP ============
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | Starting from epoch 0 with evolve_config = {'ckpt': 10, 'early_stopping_rounds': None, 'evolve_end_marker': '# EVOLVE-BLOCK-END', 'evolve_start_marker': '# EVOLVE-BLOCK-START', 'exploration_rate': 0.3, 'fitness_key': 'fitness', 'init_pop': 1... [TRUNCATED]
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | ========= EPOCH 1 =========
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | Global early stopping counter: 0/None
[island 4] 2026-02-17 16:03:01,946 | INFO | 300707 | Exploration rate: 0.3
